team,player,fieldGoalsMade/fieldGoalAttempts,fieldGoalPct,longFieldGoalMade,extraPointsMade/extraPointAttempts,totalKickingPoints
Los Angeles Rams,Matt Gay,2/2,100.0,47,2/3,8
Seattle Seahawks,Jason Myers,1/2,50.0,32,2/2,5
New York Jets,Matt Ammendola,2/2,100.0,49,0/1,6
Atlanta Falcons,Younghoe Koo,2/2,100.0,52,3/3,9
Green Bay Packers,Mason Crosby,4/7,57.0,49,1/2,13
Cincinnati Bengals,Evan McPherson,0/2,0.0,0,2/2,2
Detroit Lions,Austin Seibert,3/3,100.0,52,0/0,9
Minnesota Vikings,Greg Joseph,4/5,80.0,55,1/1,13
Denver Broncos,Brandon McManus,2/2,100.0,39,1/1,7
Pittsburgh Steelers,Chris Boswell,2/2,100.0,48,3/3,9
Miami Dolphins,Jason Sanders,1/1,100.0,23,2/2,5
Tampa Bay Buccaneers,Ryan Succop,1/1,100.0,42,6/6,9
Tampa Bay Buccaneers,Bradley Pinion,0/1,0.0,0,0/0,0
New Orleans Saints,Cody Parkey,0/0,0.0,0,3/5,3
Washington,Dustin Hopkins,3/3,100.0,45,1/1,10
Philadelphia Eagles,Jake Elliott,2/2,100.0,58,1/1,7
Carolina Panthers,Zane Gonzalez,3/3,100.0,50,1/1,10
Tennessee Titans,Randy Bullock,1/1,100.0,34,4/5,7
Jacksonville Jaguars,Matthew Wright,0/1,0.0,0,1/2,1
New England Patriots,Nick Folk,4/4,100.0,52,1/2,13
Houston Texans,Ka'imi Fairbairn,1/2,50.0,33,1/3,4
Chicago Bears,Cairo Santos,2/2,100.0,46,2/2,8
Las Vegas Raiders,Daniel Carlson,1/1,100.0,31,0/0,3
Cleveland Browns,Chase McLaughlin,2/2,100.0,35,4/4,10
Los Angeles Chargers,Tristan Vizcaino,0/0,0.0,0,3/5,3
New York Giants,Graham Gano,2/3,67.0,51,2/2,8
Dallas Cowboys,Greg Zuerlein,3/3,100.0,38,5/5,14
San Francisco 49ers,Joey Slye,1/1,100.0,47,1/1,4
Arizona Cardinals,Matt Prater,1/2,50.0,21,2/2,5
Buffalo Bills,Tyler Bass,1/1,100.0,30,5/5,8
Kansas City Chiefs,Harrison Butker,2/2,100.0,54,2/2,8
Indianapolis Colts,Rodrigo Blankenship,2/4,50.0,43,1/2,7
Baltimore Ravens,Justin Tucker,1/1,100.0,23,0/0,3
