team,player,rushingAttempts,rushingYards,yardsPerRushAttempt,rushingTouchdowns,longRushing
Tampa Bay Buccaneers,Leonard Fournette,22,81,3.7,2,20
Tampa Bay Buccaneers,Ronald Jones,5,20,4.0,0,9
Tampa Bay Buccaneers,Tom Brady,4,1,0.3,0,3
Philadelphia Eagles,Miles Sanders,9,56,6.2,0,23
Philadelphia Eagles,Jalen Hurts,10,44,4.4,2,11
Miami Dolphins,Malcolm Brown,5,24,4.8,0,16
Miami Dolphins,Tua Tagovailoa,3,22,7.3,0,8
Miami Dolphins,Salvon Ahmed,7,22,3.1,0,5
Miami Dolphins,Myles Gaskin,5,9,1.8,0,4
Jacksonville Jaguars,James Robinson,17,73,4.3,1,24
Jacksonville Jaguars,Trevor Lawrence,2,11,5.5,0,12
Green Bay Packers,Aaron Jones,13,76,5.8,0,28
Green Bay Packers,AJ Dillon,11,59,5.4,0,36
Green Bay Packers,Aaron Rodgers,7,19,2.7,1,16
Chicago Bears,Khalil Herbert,19,97,5.1,1,25
Chicago Bears,Justin Fields,6,43,7.2,0,16
Chicago Bears,Cole Kmet,1,0,0.0,0,0
Cincinnati Bengals,Joe Mixon,18,94,5.2,0,18
Cincinnati Bengals,Joe Burrow,5,20,4.0,0,6
Cincinnati Bengals,Chris Evans,4,18,4.5,0,6
Cincinnati Bengals,Trayveon Williams,6,13,2.2,0,6
Cincinnati Bengals,Brandon Allen,3,-3,-1.0,0,-1
Detroit Lions,D'Andre Swift,13,24,1.8,1,9
Detroit Lions,Jamaal Williams,4,11,2.8,0,6
Detroit Lions,Jared Goff,1,1,1.0,0,1
Houston Texans,Mark Ingram II,18,73,4.1,0,24
Houston Texans,Phillip Lindsay,7,39,5.6,0,35
Houston Texans,David Johnson,2,7,3.5,0,6
Houston Texans,Davis Mills,2,5,2.5,0,3
Indianapolis Colts,Jonathan Taylor,14,145,10.4,2,83
Indianapolis Colts,Nyheim Hines,4,13,3.3,0,7
Indianapolis Colts,Marlon Mack,5,12,2.4,0,8
Indianapolis Colts,Michael Pittman Jr.,1,3,3.0,0,3
Indianapolis Colts,Carson Wentz,2,1,0.5,0,2
Los Angeles Rams,Darrell Henderson Jr.,21,78,3.7,1,10
Los Angeles Rams,Sony Michel,9,42,4.7,0,15
Los Angeles Rams,Matthew Stafford,2,12,6.0,0,9
Los Angeles Rams,John Wolford,2,-1,-0.5,0,0
New York Giants,Devontae Booker,12,41,3.4,0,14
New York Giants,Elijhaa Penny,3,15,5.0,1,6
New York Giants,Daniel Jones,3,4,1.3,0,2
Kansas City Chiefs,Darrel Williams,21,62,3.0,2,11
Kansas City Chiefs,Patrick Mahomes,3,31,10.3,0,17
Kansas City Chiefs,Jerick McKinnon,3,10,3.3,0,5
Kansas City Chiefs,Mecole Hardman,1,6,6.0,0,6
Washington,J.D. McKissic,8,45,5.6,0,11
Washington,Antonio Gibson,10,44,4.4,0,15
Washington,Jaret Patterson,1,5,5.0,0,5
Minnesota Vikings,Dalvin Cook,29,140,4.8,1,23
Minnesota Vikings,C.J. Ham,1,30,30.0,0,30
Minnesota Vikings,Kirk Cousins,2,16,8.0,0,16
Minnesota Vikings,Alexander Mattison,3,10,3.3,0,5
Minnesota Vikings,Adam Thielen,1,2,2.0,0,2
Carolina Panthers,Chuba Hubbard,16,61,3.8,1,9
Carolina Panthers,Sam Darnold,4,48,12.0,0,30
Carolina Panthers,DJ Moore,1,6,6.0,0,6
Carolina Panthers,Royce Freeman,1,3,3.0,0,3
Carolina Panthers,Tommy Tremble,1,0,0.0,0,0
Los Angeles Chargers,Justin Herbert,2,12,6.0,0,10
Los Angeles Chargers,Austin Ekeler,6,7,1.2,0,5
Los Angeles Chargers,Joshua Kelley,4,7,1.8,0,4
Baltimore Ravens,Devonta Freeman,9,53,5.9,1,16
Baltimore Ravens,Lamar Jackson,8,51,6.4,0,22
Baltimore Ravens,Latavius Murray,9,44,4.9,1,14
Baltimore Ravens,Le'Veon Bell,8,18,2.3,1,7
Baltimore Ravens,Devin Duvernay,1,11,11.0,0,11
Baltimore Ravens,Tyler Huntley,3,10,3.3,0,12
Arizona Cardinals,James Conner,16,71,4.4,0,16
Arizona Cardinals,Chase Edmonds,4,46,11.5,0,40
Arizona Cardinals,Jonathan Ward,4,14,3.5,0,7
Arizona Cardinals,Rondale Moore,3,10,3.3,0,5
Arizona Cardinals,Kyler Murray,7,6,0.9,0,4
Arizona Cardinals,Colt McCoy,3,-3,-1.0,0,-1
Cleveland Browns,Kareem Hunt,14,66,4.7,0,17
Cleveland Browns,Baker Mayfield,3,8,2.7,0,4
Cleveland Browns,D'Ernest Johnson,1,2,2.0,0,2
Cleveland Browns,Anthony Schwartz,1,-3,-3.0,0,-3
Las Vegas Raiders,Josh Jacobs,16,53,3.3,1,6
Las Vegas Raiders,Kenyan Drake,4,34,8.5,1,18
Las Vegas Raiders,Jalen Richard,1,0,0.0,0,0
Las Vegas Raiders,Derek Carr,2,-1,-0.5,0,0
Denver Broncos,Javonte Williams,11,53,4.8,0,30
Denver Broncos,Melvin Gordon III,10,50,5.0,0,10
Denver Broncos,Teddy Bridgewater,2,9,4.5,0,5
Dallas Cowboys,Ezekiel Elliott,17,69,4.1,0,21
Dallas Cowboys,Tony Pollard,10,41,4.1,0,9
Dallas Cowboys,Dak Prescott,3,10,3.3,0,10
Dallas Cowboys,CeeDee Lamb,1,2,2.0,0,2
New England Patriots,Damien Harris,18,101,5.6,1,21
New England Patriots,Rhamondre Stevenson,5,23,4.6,1,11
New England Patriots,Nelson Agholor,1,1,1.0,0,1
New England Patriots,Brandon Bolden,1,-1,-1.0,0,-1
New England Patriots,Mac Jones,2,-4,-2.0,0,-2
Seattle Seahawks,Alex Collins,20,101,5.1,1,21
Seattle Seahawks,Travis Homer,2,27,13.5,0,26
Seattle Seahawks,DeeJay Dallas,4,17,4.3,0,10
Seattle Seahawks,Geno Smith,1,-1,-1.0,0,-1
Pittsburgh Steelers,Najee Harris,24,81,3.4,0,10
Pittsburgh Steelers,Diontae Johnson,1,25,25.0,0,25
Pittsburgh Steelers,Kalen Ballage,2,15,7.5,0,11
Pittsburgh Steelers,Eric Ebron,1,1,1.0,1,1
Pittsburgh Steelers,Ben Roethlisberger,2,-3,-1.5,0,0
Buffalo Bills,Devin Singletary,5,27,5.4,0,14
Buffalo Bills,Josh Allen,9,26,2.9,0,7
Buffalo Bills,Zack Moss,8,24,3.0,0,7
Buffalo Bills,Isaiah McKenzie,1,5,5.0,0,5
Tennessee Titans,Derrick Henry,20,143,7.2,3,76
Tennessee Titans,Ryan Tannehill,2,3,1.5,1,4
