team,player,fumbles,fumblesLost,fumblesRecovered
Dallas Cowboys,Dak Prescott,1,1,0
Dallas Cowboys,Micah Parsons,0,0,1
Tennessee Titans,Joshua Dobbs,2,1,1
Tennessee Titans,Teair Tart,0,0,1
Arizona Cardinals,Leki Fotu,0,0,1
Atlanta Falcons,Desmond Ridder,1,1,0
Chicago Bears,Justin Fields,1,1,0
Detroit Lions,Aidan Hutchinson,0,0,1
Denver Broncos,Russell Wilson,1,1,0
Denver Broncos,Eric Saubert,0,0,1
Kansas City Chiefs,Kadarius Toney,1,1,0
Kansas City Chiefs,George Karlaftis,0,0,1
Indianapolis Colts,Rodney McLeod,0,0,1
New York Giants,Darius Slayton,1,1,0
Philadelphia Eagles,Gardner Minshew,2,0,2
Carolina Panthers,Sam Darnold,3,2,1
Carolina Panthers,Terrace Marshall Jr.,2,0,1
Carolina Panthers,Chuba Hubbard,1,0,0
Carolina Panthers,Xavier Woods,0,0,1
Carolina Panthers,Ikem Ekwonu,0,0,1
Tampa Bay Buccaneers,Chris Godwin,1,1,0
Tampa Bay Buccaneers,Vita Vea,0,0,1
Tampa Bay Buccaneers,Devin White,0,0,1
Jacksonville Jaguars,Trevor Lawrence,1,0,0
Jacksonville Jaguars,Travis Etienne Jr.,0,0,1
Jacksonville Jaguars,Tyson Campbell,0,0,1
Houston Texans,Davis Mills,1,1,0
Las Vegas Raiders,Jarrett Stidham,1,0,1
New York Jets,Mike White,1,1,0
Seattle Seahawks,Geno Smith,1,0,1
Seattle Seahawks,Michael Jackson,1,0,0
Seattle Seahawks,Uchenna Nwosu,0,0,1
Seattle Seahawks,Riq Woolen,0,0,1
Minnesota Vikings,Kirk Cousins,2,1,0
Minnesota Vikings,Jalen Reagor,1,0,1
Minnesota Vikings,Dalvin Cook,0,0,1
Green Bay Packers,Kenny Clark,0,0,1
Los Angeles Rams,Baker Mayfield,1,1,0
Los Angeles Chargers,Kyle Van Noy,0,0,1
