team,player,completions/passingAttempts,passingYards,yardsPerPassAttempt,passingTouchdowns,interceptions,sacks-sackYardsLost,adjQBR,QBRating
Miami Dolphins,Teddy Bridgewater,14/23,193,8.4,1,1,0-0,83.8,84.1
Miami Dolphins,Tua Tagovailoa,8/14,110,7.9,0,1,1-10,45.9,52.7
Cincinnati Bengals,Joe Burrow,20/31,287,9.3,2,0,1-6,48.5,115.9
Cincinnati Bengals,Tyler Boyd,1/1,23,23.0,0,0,0-0,100.0,118.8
Minnesota Vikings,Kirk Cousins,25/38,273,7.2,1,1,3-23,47.3,84.6
Minnesota Vikings,Ryan Wright,1/1,13,13.0,0,0,0-0,--,118.8
New Orleans Saints,Andy Dalton,20/28,236,8.4,1,0,2-9,62.8,108.6
Cleveland Browns,Jacoby Brissett,21/35,234,6.7,0,1,1-8,61.0,68.0
Atlanta Falcons,Marcus Mariota,7/19,139,7.3,0,1,1-8,32.8,41.3
Washington Commanders,Carson Wentz,25/42,170,4.0,1,2,2-15,26.0,56.6
Dallas Cowboys,Cooper Rush,15/27,223,8.3,2,0,1-6,81.2,107.5
Seattle Seahawks,Geno Smith,23/30,320,10.7,2,0,0-0,91.4,132.6
Detroit Lions,Jared Goff,26/39,378,9.7,4,1,1-9,82.1,121.5
Detroit Lions,Jack Fox,1/1,6,6.0,0,0,0-0,--,91.7
Tennessee Titans,Ryan Tannehill,17/21,137,6.5,2,0,3-21,55.6,125.6
Indianapolis Colts,Matt Ryan,27/37,356,9.6,2,1,3-29,42.9,109.7
Chicago Bears,Justin Fields,11/22,174,7.9,0,0,6-19,34.6,76.7
New York Giants,Daniel Jones,8/13,71,5.5,0,0,1-11,88.8,76.1
New York Giants,Tyrod Taylor,1/3,11,3.7,0,1,0-0,1.4,5.6
Jacksonville Jaguars,Trevor Lawrence,11/23,174,7.6,2,1,4-26,11.4,84.3
Philadelphia Eagles,Jalen Hurts,16/25,204,8.2,0,1,2-13,17.8,72.8
New York Jets,Zach Wilson,18/36,252,7.0,1,2,1-4,58.3,59.0
New York Jets,Braxton Berrios,1/1,2,2.0,1,0,0-0,99.6,118.8
Pittsburgh Steelers,Kenny Pickett,10/13,120,9.2,0,3,0-0,38.7,65.1
Pittsburgh Steelers,Mitch Trubisky,7/13,84,6.5,0,1,3-26,11.5,41.8
Buffalo Bills,Josh Allen,19/36,213,5.9,1,1,1-12,78.3,68.4
Baltimore Ravens,Lamar Jackson,20/29,144,5.0,1,2,2-10,51.0,63.0
Los Angeles Chargers,Justin Herbert,27/39,340,8.7,2,0,1-2,90.9,113.2
Houston Texans,Davis Mills,26/35,246,7.0,2,2,4-31,37.1,88.5
Arizona Cardinals,Kyler Murray,23/32,207,6.5,2,1,1-1,43.6,96.7
Carolina Panthers,Baker Mayfield,22/36,197,5.5,1,2,2-17,8.4,61.9
New England Patriots,Bailey Zappe,10/15,99,6.6,1,0,3-24,13.4,107.4
New England Patriots,Brian Hoyer,5/6,37,6.2,0,0,1-8,28.4,92.4
Green Bay Packers,Aaron Rodgers,21/35,251,7.2,2,1,1-7,47.5,89.1
Denver Broncos,Russell Wilson,17/25,237,9.5,2,0,3-23,53.5,124.9
Las Vegas Raiders,Derek Carr,21/34,188,5.5,0,0,2-15,63.5,76.6
Kansas City Chiefs,Patrick Mahomes,23/37,249,6.7,3,1,3-21,90.6,97.7
Tampa Bay Buccaneers,Tom Brady,39/52,385,7.4,3,0,1-12,73.7,114.7
Los Angeles Rams,Matthew Stafford,32/48,254,5.3,0,1,7-54,40.8,71.0
San Francisco 49ers,Jimmy Garoppolo,16/27,239,8.9,1,0,0-0,43.5,100.7
