team,player,completions/passingAttempts,passingYards,yardsPerPassAttempt,passingTouchdowns,interceptions,sacks-sackYardsLost,adjQBR,QBRating
Carolina Panthers,Bryce Young,21/38,185,4.9,0,0,3-15,56.9,68.4
Chicago Bears,Tyson Bagent,20/33,162,4.9,0,0,0-0,47.5,73.0
Indianapolis Colts,Gardner Minshew,18/28,194,6.9,0,1,0-0,42.4,69.6
New England Patriots,Mac Jones,15/20,170,8.5,0,1,5-22,25.9,79.2
New England Patriots,Bailey Zappe,3/7,25,3.6,0,1,0-0,29.9,13.1
Houston Texans,C.J. Stroud,23/39,356,9.1,1,1,1-0,71.1,87.1
Cincinnati Bengals,Joe Burrow,27/40,347,8.7,2,2,4-33,37.1,90.3
New Orleans Saints,Jameis Winston,13/25,122,4.9,2,2,1-5,33.0,59.1
New Orleans Saints,Derek Carr,13/18,110,6.1,0,0,2-12,23.0,87.7
Minnesota Vikings,Joshua Dobbs,23/34,268,7.9,1,0,1-5,88.3,101.1
Green Bay Packers,Jordan Love,21/40,289,7.2,2,2,1-6,72.1,71.8
Pittsburgh Steelers,Kenny Pickett,14/23,126,5.5,0,0,1-7,24.4,75.6
Tennessee Titans,Will Levis,19/39,199,5.1,0,1,4-32,26.9,53.3
Tampa Bay Buccaneers,Baker Mayfield,18/29,278,9.6,2,1,3-15,62.4,102.4
San Francisco 49ers,Brock Purdy,19/26,296,11.4,3,0,2-9,87.8,148.9
San Francisco 49ers,Sam Darnold,1/2,6,3.0,0,0,0-0,0.0,56.2
Jacksonville Jaguars,Trevor Lawrence,17/29,185,6.4,0,2,5-28,15.1,48.8
Jacksonville Jaguars,C.J. Beathard,1/2,5,2.5,0,0,0-0,34.9,56.2
Jacksonville Jaguars,Christian Kirk,0/1,0,0.0,0,0,0-0,2.7,39.6
Cleveland Browns,Deshaun Watson,20/34,213,6.3,1,1,4-18,60.1,74.8
Cleveland Browns,PJ Walker,0/1,0,0.0,0,0,0-0,4.9,39.6
Baltimore Ravens,Lamar Jackson,13/23,223,9.7,1,2,3-23,52.2,67.8
Atlanta Falcons,Taylor Heinicke,8/15,55,3.7,1,0,3-24,45.7,84.0
Atlanta Falcons,Desmond Ridder,4/6,39,6.5,0,0,0-0,70.9,84.7
Arizona Cardinals,Kyler Murray,19/32,249,7.8,0,1,2-19,51.6,71.0
Detroit Lions,Jared Goff,23/33,333,10.1,2,0,0-0,76.4,122.4
Los Angeles Chargers,Justin Herbert,27/40,323,8.1,4,1,0-0,83.6,114.9
New York Giants,Tommy DeVito,14/27,86,3.2,2,1,5-25,18.0,67.8
Dallas Cowboys,Dak Prescott,26/35,404,11.5,4,1,0-0,97.2,138.3
Dallas Cowboys,Cooper Rush,7/9,68,7.6,0,1,0-0,50.9,58.6
Washington Commanders,Sam Howell,29/44,312,7.1,3,0,3-24,51.0,109.3
Seattle Seahawks,Geno Smith,31/47,369,7.9,2,0,1-0,50.7,103.9
New York Jets,Zach Wilson,23/39,263,6.7,0,1,2-6,50.2,68.6
New York Jets,Garrett Wilson,0/1,0,0.0,0,0,0-0,5.3,39.6
Las Vegas Raiders,Aidan O'Connell,16/27,153,5.7,1,1,3-27,31.2,72.0
Denver Broncos,Russell Wilson,24/29,193,6.7,2,0,4-15,81.0,117.4
Buffalo Bills,Josh Allen,15/26,177,6.8,1,2,0-0,27.1,59.3
