team,player,fumbles,fumblesLost,fumblesRecovered
San Francisco 49ers,Brock Purdy,1,0,1
Tennessee Titans,Ryan Tannehill,1,0,0
Tennessee Titans,Derrick Henry,0,0,1
Tennessee Titans,Sean Murphy-Bunting,0,0,1
Cleveland Browns,Elijah Moore,1,1,1
Cleveland Browns,Deshaun Watson,1,0,0
Cleveland Browns,Donovan Peoples-Jones,1,0,1
Atlanta Falcons,Desmond Ridder,1,1,0
Detroit Lions,Aidan Hutchinson,0,0,1
Green Bay Packers,Emanuel Wilson,1,0,0
Green Bay Packers,Jordan Love,0,0,1
Denver Broncos,Courtland Sutton,2,2,0
Miami Dolphins,Andrew Van Ginkel,0,0,1
Miami Dolphins,Kader Kohou,0,0,1
Los Angeles Chargers,Joshua Palmer,1,1,0
Los Angeles Chargers,Keenan Allen,1,0,1
Los Angeles Chargers,Gerald Everett,1,0,0
Los Angeles Chargers,Justin Herbert,1,0,1
Los Angeles Chargers,Alohi Gilman,0,0,1
Minnesota Vikings,T.J. Hockenson,1,1,0
Minnesota Vikings,Jordan Hicks,0,0,1
New York Jets,Breece Hall,1,0,1
Buffalo Bills,Terrel Bernard,0,0,1
Washington Commanders,Antonio Gibson,1,1,0
Houston Texans,Blake Cashman,0,0,1
Jacksonville Jaguars,Jamal Agnew,1,1,0
Indianapolis Colts,Gardner Minshew,1,0,0
Indianapolis Colts,Michael Pittman Jr.,0,0,1
Indianapolis Colts,Kwity Paye,0,0,1
Indianapolis Colts,JuJu Brents,0,0,1
Baltimore Ravens,Lamar Jackson,2,1,2
Baltimore Ravens,Kenyan Drake,1,1,0
Baltimore Ravens,Sam Mustipher,1,0,0
Chicago Bears,Khalil Herbert,1,1,0
Kansas City Chiefs,Willie Gay,0,0,1
Las Vegas Raiders,DeAndre Carter,1,0,1
Philadelphia Eagles,James Bradberry,0,0,1
Tampa Bay Buccaneers,Rachaad White,1,1,0
Tampa Bay Buccaneers,Baker Mayfield,1,0,0
Tampa Bay Buccaneers,Robert Hainsey,0,0,1
