team,player,fieldGoalsMade/fieldGoalAttempts,fieldGoalPct,longFieldGoalMade,extraPointsMade/extraPointAttempts,totalKickingPoints
Jacksonville Jaguars,Brandon McManus,1/1,100.0,43,4/4,7
New Orleans Saints,Blake Grupe,3/4,75.0,42,1/1,10
Las Vegas Raiders,Daniel Carlson,2/3,67.0,40,0/0,6
Chicago Bears,Cairo Santos,1/1,100.0,54,3/4,6
Cleveland Browns,Dustin Hopkins,4/4,100.0,58,3/3,15
Indianapolis Colts,Matt Gay,1/2,50.0,27,5/5,8
Buffalo Bills,Tyler Bass,1/2,50.0,36,2/2,5
New England Patriots,Chad Ryland,3/3,100.0,49,2/2,11
Washington Commanders,Joey Slye,0/1,0.0,0,1/1,1
New York Giants,Graham Gano,0/1,0.0,0,2/2,2
Atlanta Falcons,Younghoe Koo,3/3,100.0,51,1/1,10
Tampa Bay Buccaneers,Chase McLaughlin,2/2,100.0,36,1/1,7
Baltimore Ravens,Justin Tucker,1/1,100.0,32,5/5,8
Pittsburgh Steelers,Chris Boswell,1/1,100.0,53,3/3,6
Los Angeles Rams,Brett Maher,1/3,33.0,41,0/1,3
Arizona Cardinals,Matt Prater,1/2,50.0,44,1/1,4
Seattle Seahawks,Jason Myers,2/2,100.0,48,2/2,8
Green Bay Packers,Anders Carlson,1/2,50.0,29,2/2,5
Denver Broncos,Wil Lutz,4/4,100.0,52,1/1,13
Los Angeles Chargers,Cameron Dicker,1/1,100.0,55,2/2,5
Kansas City Chiefs,Harrison Butker,1/1,100.0,35,4/4,7
Miami Dolphins,Jason Sanders,1/1,100.0,40,2/2,5
Philadelphia Eagles,Jake Elliott,1/1,100.0,24,4/4,7
San Francisco 49ers,Jake Moody,1/2,50.0,55,2/2,5
Minnesota Vikings,Greg Joseph,3/4,75.0,54,1/2,10
